tempo_s,posicao_cm,velocidade_cms,x_ref_cm,e_int,u_K
51.369,2.9314,-1.2474,0.0000,-0.1466,15.0000
51.419,2.9938,1.2474,0.0000,-0.2963,15.0000
51.469,2.9314,-1.2474,0.0000,-0.4428,15.0000
51.519,3.0562,2.4948,0.0000,-0.5956,15.0000
51.569,3.0562,0.0000,0.0000,-0.7484,15.0000
51.619,3.0562,0.0000,0.0000,-0.9013,15.0000
51.669,2.9314,-2.4948,0.0000,-1.0478,15.0000
51.719,2.9938,1.2474,0.0000,-1.1975,15.0000
51.769,2.8691,-2.4948,0.0000,-1.3410,15.0000
51.819,2.9314,1.2474,0.0000,-1.4875,15.0000
51.869,2.9314,0.0000,0.0000,-1.6341,15.0000
51.919,3.1185,3.7422,0.0000,-1.7900,15.0000
51.969,3.0562,-1.2474,0.0000,-1.9428,15.0000
52.019,2.8067,-4.9896,0.0000,-2.0832,15.0000
52.069,2.9938,3.7422,0.0000,-2.2329,15.0000
52.119,3.4304,8.7318,0.0000,-2.4044,15.0000
52.169,3.7422,6.2370,0.0000,-2.5915,15.0000
52.219,4.1165,7.4844,0.0000,-2.7973,15.0000
52.269,4.3036,3.7422,0.0000,-3.0125,15.0000
52.319,4.7402,8.7318,0.0000,-3.2495,15.0000
52.369,5.1144,7.4844,0.0000,-3.5052,15.0000
52.419,5.3639,4.9896,0.0000,-3.7734,15.0000
52.469,5.8628,9.9792,0.0000,-4.0666,15.0000
52.519,6.1747,6.2370,0.0000,-4.3753,15.0000
52.569,7.2350,21.2058,0.0000,-4.7371,15.0000
52.619,7.7339,9.9792,0.0000,-5.1238,15.0000
52.669,8.3576,12.4740,0.0000,-5.5416,15.0000
52.719,8.9813,12.4740,0.0000,-5.9907,15.0000
52.769,9.6050,12.4740,0.0000,-6.4710,15.0000
52.819,10.4158,16.2162,0.0000,-6.9917,15.0000
52.869,10.9148,9.9792,0.0000,-7.5375,15.0000
52.919,11.7256,16.2162,0.0000,-8.1238,15.0000
52.969,12.1622,8.7318,0.0000,-8.7319,15.0000
53.019,13.1601,19.9584,0.0000,-9.3899,15.0000
53.069,13.9709,16.2162,0.0000,-10.0884,15.0000
53.119,14.9688,19.9584,0.0000,-10.8369,15.0000
53.169,16.0291,21.2058,0.0000,-11.6383,15.0000
53.219,16.1539,2.4948,0.0000,-12.4460,15.0000
53.269,17.5884,28.6902,0.0000,-13.3254,15.0000
53.319,18.3992,16.2162,0.0000,-14.2454,15.0000
53.369,18.8982,9.9792,0.0000,-15.1903,15.0000
53.419,20.5198,32.4324,0.0000,-16.2163,15.0000
53.469,21.4553,18.7110,0.0000,-17.2891,15.0000
53.519,22.2038,14.9688,0.0000,-18.3992,15.0000
53.569,23.2017,19.9584,0.0000,-19.5593,15.0000
53.619,23.2641,1.2474,0.0000,-20.7225,15.0000
53.669,23.4512,3.7422,0.0000,-21.8951,15.0000
53.719,23.8878,8.7318,0.0000,-23.0895,15.0000
