tempo_s,posicao_cm,velocidade_cms,x_ref_cm,e_int,u_K
25.827,2.2454,-16.2162,15.0000,0.6377,-7.3201
25.877,3.3057,21.2058,15.0000,1.2224,25.6990
25.927,3.5551,4.9896,15.0000,1.7947,13.2223
25.977,4.4283,17.4636,15.0000,2.3233,25.5715
26.027,4.9273,9.9792,15.0000,2.8269,20.8047
26.077,5.3015,7.4844,15.0000,3.3118,19.7529
26.127,5.6757,7.4844,15.0000,3.7781,20.7197
26.177,6.0499,7.4844,15.0000,4.2256,21.6865
26.227,6.4242,7.4844,15.0000,4.6543,22.6534
26.277,6.9231,9.9792,15.0000,5.0582,25.9612
26.327,7.1726,4.9896,15.0000,5.4496,22.5684
26.377,7.4221,4.9896,15.0000,5.8285,23.2130
26.427,7.9834,11.2266,15.0000,6.1793,29.7098
26.477,8.1081,2.4948,15.0000,6.5239,22.9669
26.527,8.3576,4.9896,15.0000,6.8560,25.6300
26.577,8.5447,3.7422,15.0000,7.1788,25.1041
26.627,8.6695,2.4948,15.0000,7.4953,24.4171
26.677,8.6695,0.0000,15.0000,7.8118,22.3985
26.727,8.8566,3.7422,15.0000,8.1190,25.9098
26.777,8.9813,2.4948,15.0000,8.4199,25.2228
26.827,8.8566,-2.4948,15.0000,8.7271,20.8632
26.877,8.9190,1.2474,15.0000,9.0311,24.0523
26.927,8.9190,0.0000,15.0000,9.3352,23.0430
26.977,8.6695,-4.9896,15.0000,9.6517,18.3612
27.027,8.6071,-1.2474,15.0000,9.9714,21.2280
27.077,8.5447,-1.2474,15.0000,10.2941,21.0668
27.127,8.3576,-3.7422,15.0000,10.6262,18.5648
27.177,8.3576,0.0000,15.0000,10.9584,21.5928
27.227,8.1705,-3.7422,15.0000,11.2998,18.0814
27.277,8.1081,-1.2474,15.0000,11.6444,19.9389
27.327,7.8587,-4.9896,15.0000,12.0015,16.2663
27.377,7.6716,-3.7422,15.0000,12.3679,16.7923
27.427,7.5468,-2.4948,15.0000,12.7406,17.4793
27.477,7.2350,-6.2370,15.0000,13.1288,13.6456
27.527,6.9231,-6.2370,15.0000,13.5327,12.8399
27.577,6.7360,-3.7422,15.0000,13.9459,14.3752
27.627,6.4242,-6.2370,15.0000,14.3747,11.5508
27.677,6.2370,-3.7422,15.0000,14.8128,13.0860
27.727,5.9252,-6.2370,15.0000,15.2666,10.2617
27.777,5.7381,-3.7422,15.0000,15.7296,11.7969
27.827,5.4262,-6.2370,15.0000,16.2083,8.9726
27.877,5.1768,-4.9896,15.0000,16.6995,9.3374
27.927,5.1144,-1.2474,15.0000,17.1938,12.2042
27.977,4.6154,-9.9792,15.0000,17.7130,3.8498
28.027,4.3036,-6.2370,15.0000,18.2478,6.0721
28.077,4.1165,-3.7422,15.0000,18.7920,7.6073
28.127,3.8670,-4.9896,15.0000,19.3487,5.9534
28.177,3.7422,-2.4948,15.0000,19.9115,7.6498
28.227,3.5551,-3.7422,15.0000,20.4838,6.1571
28.277,3.2433,-6.2370,15.0000,21.0716,3.3327
28.327,2.9314,-6.2370,15.0000,21.6751,2.5270
28.377,2.7443,-3.7422,15.0000,22.2878,4.0623
28.427,3.1185,7.4844,15.0000,22.8819,14.1130
28.477,3.1809,1.2474,15.0000,23.4729,9.2275
28.527,3.1185,-1.2474,15.0000,24.0669,7.0477
28.577,2.9314,-3.7422,15.0000,24.6704,4.5457
28.627,3.0562,2.4948,15.0000,25.2676,9.9146
28.677,3.0562,0.0000,15.0000,25.8648,7.8959
28.727,3.1809,2.4948,15.0000,26.4557,10.2369
28.777,2.7443,-8.7318,15.0000,27.0685,0.0250
28.827,2.8691,2.4948,15.0000,27.6750,9.4312
28.877,2.8067,-1.2474,15.0000,28.2847,6.2420
28.927,3.1809,7.4844,15.0000,28.8757,14.2742
28.977,3.0562,-2.4948,15.0000,29.4729,5.8773
29.027,3.1185,1.2474,15.0000,30.0669,9.0664
29.077,2.9938,-2.4948,15.0000,30.6672,5.7161
29.127,3.1185,2.4948,15.0000,31.2613,10.0757
29.177,3.1809,1.2474,15.0000,31.8523,9.2275
29.227,3.2433,1.2474,15.0000,32.4401,9.3887
29.277,3.2433,0.0000,15.0000,33.0279,8.3793
29.327,3.3057,1.2474,15.0000,33.6127,9.5498
29.377,2.8691,-8.7318,15.0000,34.2192,0.3472
29.427,2.9938,2.4948,15.0000,34.8195,9.7534
29.477,3.1185,2.4948,15.0000,35.4136,10.0757
29.527,3.4304,6.2370,15.0000,35.9921,13.9094
29.577,3.6175,3.7422,15.0000,36.5612,12.3742
29.627,3.8046,3.7422,15.0000,37.1210,12.8576
29.677,4.1165,6.2370,15.0000,37.6651,15.6819
29.727,4.0541,-1.2474,15.0000,38.2124,9.4648
29.777,4.4907,8.7318,15.0000,38.7379,18.6674
29.827,4.5531,1.2474,15.0000,39.2602,12.7726
29.877,4.9896,8.7318,15.0000,39.7608,19.9565
29.927,5.2391,4.9896,15.0000,40.2488,17.5731
29.977,5.3639,2.4948,15.0000,40.7306,15.8767
30.027,5.4886,2.4948,15.0000,41.2062,16.1990
30.077,5.6757,3.7422,15.0000,41.6724,17.6918
30.127,5.9252,4.9896,15.0000,42.1261,19.3456
30.177,6.0499,2.4948,15.0000,42.5736,17.6493
30.227,6.3618,6.2370,15.0000,43.0055,21.4829
30.277,6.5489,3.7422,15.0000,43.4281,19.9477
30.327,6.8607,6.2370,15.0000,43.8351,22.7720
30.377,7.1102,4.9896,15.0000,44.2296,22.4073
30.427,7.1726,1.2474,15.0000,44.6209,19.5404
30.477,7.3597,3.7422,15.0000,45.0029,22.0425
30.527,7.6092,4.9896,15.0000,45.3725,23.6964
30.577,7.7339,2.4948,15.0000,45.7358,22.0000
30.627,8.0458,6.2370,15.0000,46.0835,25.8337
30.677,8.2329,3.7422,15.0000,46.4218,24.2985
