tempo_s,posicao_cm,velocidade_cms,x_ref_cm,e_int,u_K
103.230,14.1580,-3.7422,0.0000,-0.7079,33.5507
103.280,13.9709,-3.7422,0.0000,-1.4064,33.0673
103.330,14.3451,7.4844,0.0000,-2.1237,43.1181
103.380,14.2828,-1.2474,0.0000,-2.8378,35.8917
103.430,14.0957,-3.7422,0.0000,-3.5426,33.3896
103.480,14.4699,7.4844,0.0000,-4.2661,43.4403
103.530,14.6570,3.7422,0.0000,-4.9990,40.8958
103.580,14.3451,-6.2370,0.0000,-5.7162,32.0155
103.630,14.5946,4.9896,0.0000,-6.4460,41.7440
103.680,14.0957,-9.9792,0.0000,-7.1507,28.3430
103.730,14.4075,6.2370,0.0000,-7.8711,42.2699
103.780,14.5323,2.4948,0.0000,-8.5977,39.5642
103.830,14.5946,1.2474,0.0000,-9.3275,38.7160
103.880,14.4075,-3.7422,0.0000,-10.0478,34.1953
103.930,14.2828,-2.4948,0.0000,-10.7620,34.8824
103.980,14.2828,0.0000,0.0000,-11.4761,36.9010
104.030,14.1580,-2.4948,0.0000,-12.1840,34.5600
104.080,14.2828,2.4948,0.0000,-12.8982,38.9196
104.130,14.2204,-1.2474,0.0000,-13.6092,35.7305
104.180,14.2828,1.2474,0.0000,-14.3233,37.9103
104.230,14.4699,3.7422,0.0000,-15.0468,40.4124
104.280,14.1580,-6.2370,0.0000,-15.7547,31.5321
104.330,14.9065,14.9688,0.0000,-16.5000,50.6243
104.380,14.5946,-6.2370,0.0000,-17.2298,32.6600
104.430,14.5946,0.0000,0.0000,-17.9595,37.7067
104.480,14.2828,-6.2370,0.0000,-18.6736,31.8544
104.530,14.4699,3.7422,0.0000,-19.3971,40.4124
104.580,14.4699,0.0000,0.0000,-20.1206,37.3844
104.630,14.3451,-2.4948,0.0000,-20.8379,35.0435
104.680,14.0957,-4.9896,0.0000,-21.5427,32.3802
104.730,14.2828,3.7422,0.0000,-22.2568,39.9290
104.780,14.5946,6.2370,0.0000,-22.9865,42.7533
104.830,14.1580,-8.7318,0.0000,-23.6944,29.5134
104.880,14.5323,7.4844,0.0000,-24.4211,43.6015
104.930,14.1580,-7.4844,0.0000,-25.1290,30.5228
104.980,14.7817,12.4740,0.0000,-25.8680,48.2833
105.030,14.2828,-9.9792,0.0000,-26.5822,28.8264
105.080,14.4075,2.4948,0.0000,-27.3026,39.2419
105.130,14.2204,-3.7422,0.0000,-28.0136,33.7119
105.180,14.5323,6.2370,0.0000,-28.7402,42.5922
105.230,14.5946,1.2474,0.0000,-29.4699,38.7160
105.280,14.5946,0.0000,0.0000,-30.1996,37.7067
105.330,14.5946,0.0000,0.0000,-30.9294,37.7067
105.380,15.0936,9.9792,0.0000,-31.6841,47.0704
105.430,14.8441,-4.9896,0.0000,-32.4263,34.3139
105.480,14.6570,-3.7422,0.0000,-33.1591,34.8398
105.530,14.8441,3.7422,0.0000,-33.9013,41.3792
105.580,15.1560,6.2370,0.0000,-34.6591,44.2035
105.630,14.9688,-3.7422,0.0000,-35.4076,35.6456
105.680,14.7817,-3.7422,0.0000,-36.1466,35.1621
105.730,14.8441,1.2474,0.0000,-36.8888,39.3606
105.780,15.2183,7.4844,0.0000,-37.6498,45.3740
105.830,14.9065,-6.2370,0.0000,-38.3951,33.4658
105.880,15.2183,6.2370,0.0000,-39.1560,44.3647
105.930,15.0312,-3.7422,0.0000,-39.9076,35.8067
105.980,14.9065,-2.4948,0.0000,-40.6529,36.4937
106.030,14.9688,1.2474,0.0000,-41.4013,39.6828
106.080,15.2807,6.2370,0.0000,-42.1654,44.5258
106.130,15.1560,-2.4948,0.0000,-42.9232,37.1383
106.180,15.4054,4.9896,0.0000,-43.6934,43.8388
106.230,15.4678,1.2474,0.0000,-44.4668,40.9720
106.280,14.9688,-9.9792,0.0000,-45.2153,30.5989
106.330,15.5925,12.4740,0.0000,-45.9949,50.3781
106.380,15.4678,-2.4948,0.0000,-46.7683,37.9440
106.430,15.4678,0.0000,0.0000,-47.5417,39.9626
106.480,15.7173,4.9896,0.0000,-48.3275,44.6445
106.530,15.7173,0.0000,0.0000,-49.1134,40.6072
106.580,15.7797,1.2474,0.0000,-49.9024,41.7777
106.630,15.9044,2.4948,0.0000,-50.6976,43.1093
106.680,16.0291,2.4948,0.0000,-51.4991,43.4315
106.730,15.9668,-1.2474,0.0000,-52.2974,40.2424
106.780,16.2162,4.9896,0.0000,-53.1082,45.9336
106.830,15.5925,-12.4740,0.0000,-53.8878,30.1916
106.880,15.7173,2.4948,0.0000,-54.6737,42.6258
106.930,16.2786,11.2266,0.0000,-55.4876,51.1414
106.980,15.8420,-8.7318,0.0000,-56.2797,33.8642
107.030,16.0915,4.9896,0.0000,-57.0843,45.6113
107.080,15.7173,-7.4844,0.0000,-57.8702,34.5512
107.130,16.0291,6.2370,0.0000,-58.6716,46.4595
107.180,16.5281,9.9792,0.0000,-59.4980,50.7766
107.230,15.8420,-13.7214,0.0000,-60.2901,29.8269
107.280,16.0291,3.7422,0.0000,-61.0916,44.4409
107.330,17.5884,31.1850,0.0000,-61.9710,70.6745
107.380,16.7776,-16.2162,0.0000,-62.8099,30.2253
107.430,16.5281,-4.9896,0.0000,-63.6363,38.6647
107.480,17.0894,11.2266,0.0000,-64.4908,53.2361
107.530,16.4034,-13.7214,0.0000,-65.3109,31.2771
107.580,16.4657,1.2474,0.0000,-66.1342,43.5502
107.630,16.5281,1.2474,0.0000,-66.9606,43.7113
107.680,16.6528,2.4948,0.0000,-67.7933,45.0429
107.730,16.5281,-2.4948,0.0000,-68.6197,40.6834
107.780,16.5905,1.2474,0.0000,-69.4492,43.8724
107.830,16.9023,6.2370,0.0000,-70.2943,48.7154
107.880,17.0271,2.4948,0.0000,-71.1457,46.0098
107.930,17.0271,0.0000,0.0000,-71.9970,43.9911
107.980,16.8399,-3.7422,0.0000,-72.8390,40.4797
108.030,17.9002,21.2058,0.0000,-73.7340,63.4056
108.080,17.4013,-9.9792,0.0000,-74.6041,36.8833
108.130,17.4013,0.0000,0.0000,-75.4741,44.9579
108.180,17.6508,4.9896,0.0000,-76.3567,49.6398
108.230,18.1497,9.9792,0.0000,-77.2642,54.9662
108.280,17.4013,-14.9688,0.0000,-78.1342,32.8460
108.330,18.0873,13.7214,0.0000,-79.0386,57.8331
108.380,17.7755,-6.2370,0.0000,-79.9274,40.8782
108.430,17.9002,2.4948,0.0000,-80.8224,48.2657
108.480,18.0250,2.4947,0.0000,-81.7236,48.5879
108.530,18.5863,11.2266,0.0000,-82.6530,57.1035
108.580,18.2745,-6.2370,0.0000,-83.5667,42.1673
108.630,17.9002,-7.4844,0.0000,-84.4617,40.1911
108.680,18.8358,18.7110,0.0000,-85.4035,63.8040
108.730,18.3368,-9.9792,0.0000,-86.3203,39.3004
108.780,18.2121,-2.4948,0.0000,-87.2309,45.0341
108.830,18.3368,2.4948,0.0000,-88.1478,49.3937
108.880,18.6487,6.2370,0.0000,-89.0802,53.2273
108.930,18.1497,-9.9792,0.0000,-89.9877,38.8170
108.980,18.6487,9.9792,0.0000,-90.9201,56.2553
109.030,18.7110,1.2474,0.0000,-91.8557,49.3512
109.080,18.9605,4.9896,0.0000,-92.8037,53.0237
109.130,18.3368,-12.4740,0.0000,-93.7205,37.2818
109.180,18.5863,4.9896,0.0000,-94.6498,52.0569
109.230,18.5239,-1.2474,0.0000,-95.5760,46.8491
109.280,18.4616,-1.2474,0.0000,-96.4991,46.6880
109.330,18.5863,2.4948,0.0000,-97.4284,50.0382
109.380,18.3992,-3.7422,0.0000,-98.3484,44.5082
109.430,18.8358,8.7318,0.0000,-99.2902,55.7294
109.480,19.0229,3.7422,0.0000,-100.2413,52.1756
109.530,19.0853,1.2474,0.0000,-101.1956,50.3180
109.580,18.5863,-9.9792,0.0000,-102.1249,39.9450
109.630,18.8982,6.2370,0.0000,-103.0698,53.8719
109.680,18.8982,0.0000,0.0000,-104.0147,48.8253
109.730,18.2121,-13.7214,0.0000,-104.9253,35.9502
109.780,17.6508,-11.2266,0.0000,-105.8079,36.5186
109.830,18.2745,12.4740,0.0000,-106.7216,57.3071
109.880,17.9002,-7.4844,0.0000,-107.6166,40.1911
109.930,18.7734,17.4636,0.0000,-108.5553,62.6335
109.980,18.7734,0.0000,0.0000,-109.4939,48.5030
